cluster_id,subtype_id,subtype_name
7,210,LBLW
19,308,CDTR
24,126,RFG
22,322,MLTC
2,110,FKT
20,93,EA
7,279,RTRT
7,246,VSPP
19,199,WPS
29,97,FBRO
10,91,FAR
12,121,E.1
12,228,TRWC
3,146,PHH
8,137,SDCV
7,273,TLI
9,280,PTHT
8,228,TRWC
5,309,DG7
17,317,VBHF
12,7,TPG
14,484,SSAD
21,14,VCCL
8,479,WHE
17,4,TRPA
9,234,AOCH
19,211,LRLR
26,64,CWB
29,503,LBF
15,39,DBC
19,436,TQA
11,307,CMPR.1.1
25,253,HDGE
22,423,FGSH
22,113,FWP
20,320,MLK9
12,57,VALV
10,305,TRCR
16,272,GP30
29,141,HYPT
29,203,PHD
8,30,CMLN
10,375,CFG
7,417,GA
9,110,FKT
12,150,EB
18,132,LDHR
7,229,LMRK
17,330,DSAW.1
29,55,PC
12,331,TEL
7,55,PC
26,276,VCCB
16,203,PHD
8,197,RPSD
15,55,PC
18,197,RPSD
22,371,EVTI
11,127,CNBF
13,412,BRDR
21,209,VBSX
9,42,CHSW
12,249,VCWD
8,451,CSET
28,74,CMPR
25,400,SPHE
10,342,SNDB
18,3,CPHP
4,465,WLDR
14,0,DUNI
21,110,FKT
11,330,DSAW.1
1,14,VCCL
25,348,KB
16,136,GEN.1
13,493,SCRM
16,398,SMOK
19,406,CPTD
6,194,WBHD
8,247,GEN
29,356,HYCY
14,246,VSPP
8,184,SDRP
22,378,TRBC
8,14,VCCL
18,209,VBSX
8,300,CHS
19,481,TBK
7,218,NGA
12,502,TIR
17,194,WBHD
19,90,DLV
8,10,EHHK
19,36,SSRT
9,13,LCRR
21,435,SL
21,467,JACK
10,170,SFTY
26,195,PUSL
25,64,CWB
14,458,HYTK
13,99,HTQ
2,152,SPIT
8,438,GAA
16,484,SSAD
7,261,BH
29,211,LRLR
9,51,APS
20,45,GRAG
18,329,E.1.1
4,331,TEL
5,231,DBL
10,347,CCF
9,221,LNMK
26,241,RCBC
24,287,MEB
8,503,LBF
2,237,CCY
14,352,PUSM
15,2,AOBR
29,505,RSDD
9,287,MEB
26,110,FKT
14,245,SL.1
5,444,SAWH
17,261,BH
7,377,SSE
5,139,TLJP
6,331,TEL
14,388,RBB
22,234,AOCH
21,77,CDS
2,104,ABR
15,266,TM
20,348,KB
16,87,TRTI
8,496,BCNS
26,348,KB
12,345,CSK
12,483,BRSC
20,247,GEN
5,223,WTRT
10,289,GEN.1.1
21,90,DLV
7,2,AOBR
24,140,RSAW
9,353,SUC
14,59,VMH
22,128,EVBR
16,74,CMPR
18,124,MILD
5,230,EF
5,506,HCP
26,340,SRCP
9,360,FJC
22,63,URN
10,52,STGR
10,234,AOCH
25,127,CNBF
11,137,SDCV
5,368,LT
8,86,DAVT
3,195,PUSL
16,100,SAFL
0,156,DRLH
20,74,CMPR
19,150,EB
4,435,SL
4,45,GRAG
11,237,CCY
26,315,HCPU
10,116,FLPS
9,423,FGSH
29,494,HYFS
29,463,WTRB
21,156,DRLH
22,178,SBL
5,228,TRWC
9,63,URN
16,339,SSL
5,208,DBP
8,269,LVL
5,39,DBC
17,415,WSTE
19,322,MLTC
19,127,CNBF
17,471,WHPR
2,118,FLO
3,247,GEN
26,215,CMXR
20,127,CNBF
8,151,HTGN
18,33,PBS
14,356,HYCY
21,93,EA
19,340,SRCP
8,154,DSSW
23,194,WBHD
15,451,CSET
8,136,GEN.1
3,56,RMTP
17,486,GDK
22,207,MNFD
20,381,SHRS
9,472,COOL
3,60,RTP
7,133,UTE
8,15,PPBN
22,276,VCCB
2,446,QUE.1
25,36,SSRT
11,77,CDS
9,99,HTQ
22,94,EMV
26,434,SFLE
12,157,TREQ
9,253,HDGE
15,296,MLPD
6,27,IWR
10,283,STLK
12,94,EMV
4,425,PTB
11,197,RPSD
10,451,CSET
19,91,FAR
8,272,GP30
16,177,RP
14,354,DRLC
2,27,IWR
18,447,HTP
19,100,SAFL
19,194,WBHD
20,27,IWR
20,303,JWH
24,380,AD.1
9,60,RTP
9,179,DRMB
29,171,MAN
18,266,TM
19,251,ABO
18,382,TRSC
2,243,PULG
24,196,RCD
20,325,PUSU
24,375,CFG
19,38,PFAN
5,194,WBHD
8,195,PUSL
29,324,PLTT
25,424,OVEN
9,408,MCFA
11,90,DLV
8,326,SSC
17,2,AOBR
15,83,YDS
10,30,CMLN
22,90,DLV
4,31,ICE
16,501,GUN
9,465,WLDR
24,325,PUSU
18,30,CMLN
18,149,RCS
8,270,PLA
19,123,RDSY
5,486,GDK
26,423,FGSH
9,249,VCWD
5,127,CNBF
17,437,VAN
10,177,RP
1,442,CMWR
25,178,SBL
18,378,TRBC
20,179,DRMB
16,199,WPS
20,66,MSB
16,344,VBFX
24,378,TRBC
0,7,TPG
9,299,WLCS
20,356,HYCY
20,164,GL7
9,325,PUSU
2,463,WTRB
16,346,HYHP.1
9,219,TW
8,73,DU
16,356,HYCY
6,2,AOBR
27,14,VCCL
21,325,PUSU
22,304,TJB
8,307,CMPR.1.1
24,289,GEN.1.1
19,432,DRIL
19,333,SST.1
17,179,DRMB
21,345,CSK
7,504,BRP
9,152,SPIT
17,295,EVB
19,7,TPG
9,478,NGUN
3,27,IWR
11,205,SAW.1
19,159,TRNC
23,330,DSAW.1
18,6,CHB
25,331,TEL
19,189,PSTB
19,423,FGSH
23,388,RBB
11,0,DUNI
20,382,TRSC
8,108,CHV
22,300,CHS
14,368,LT
5,318,SAWT
5,437,VAN
0,470,CNR
12,55,PC
10,78,TRPN
22,314,NGS
20,150,EB
15,325,PUSU
8,83,YDS
7,149,RCS
22,0,DUNI
10,459,SMPB
14,33,PBS
19,372,HCPE
8,273,TLI
19,259,SSRG
14,106,EXTL
4,441,DAJ
19,419,FCR
11,328,OXYS
19,13,LCRR
24,335,SBB
8,312,ER
12,136,GEN.1
23,249,VCWD
16,240,WDMA
16,179,DRMB
28,247,GEN
12,352,PUSM
5,330,DSAW.1
19,439,TURF
11,111,EXFA
2,259,SSRG
22,215,CMXR
19,370,GRA
8,19,GPC
20,380,AD.1
6,114,TPB
19,228,TRWC
16,397,CML
7,348,KB
2,247,GEN
29,111,EXFA
25,484,SSAD
2,249,VCWD
5,195,PUSL
9,339,SSL
8,220,STSD
26,344,VBFX
16,7,TPG
18,150,EB
19,19,GPC
10,44,TRFU
12,289,GEN.1.1
29,2,AOBR
25,247,GEN
22,228,TRWC
19,72,GRNB
16,466,P&C
8,472,COOL
27,157,TREQ
10,408,MCFA
7,134,ARW
19,95,NBL.1
8,16,CHEP
14,378,TRBC
25,219,TW
22,299,WLCS
21,115,RSSD
11,400,SPHE
22,421,FTNK
8,416,SSB.1
8,0,DUNI
16,508,SWFT
18,296,MLPD
16,328,OXYS
20,412,BRDR
12,3,CPHP
8,335,SBB
21,98,GPL
16,19,GPC
19,257,CMPT
7,413,OVA
9,328,OXYS
24,218,NGA
26,66,MSB
25,330,DSAW.1
5,240,WDMA
11,250,VTP
19,27,IWR
21,223,WTRT
19,151,HTGN
25,423,FGSH
7,7,TPG
14,140,RSAW
26,5,FLST
9,435,SL
11,412,BRDR
10,498,SAWC
8,13,LCRR
17,100,SAFL
10,121,E.1
3,121,E.1
20,212,SWU
16,301,CPH
20,211,LRLR
19,506,HCP
24,368,LT
17,493,SCRM
16,375,CFG
7,175,VM 
8,174,SCBR
10,442,CMWR
8,356,HYCY
8,291,TRNS
29,247,GEN
14,247,GEN
17,5,FLST
5,123,RDSY
21,291,TRNS
25,111,EXFA
